,comment_text,id,identity_hate,insult,obscene,severe_toxic,threat,toxic
0,"Update the recent legislation part. 

According to my financial advisor congress had approved some form aid, which is why I was able to get funding for my Summer semester. This means since April 6th they have passed something. Since word of mouth is not a reputable source, can someone find a article about what has happened since then? IN fact, I'll go look for one now.",f36ebb7eb12a5326,0,0,0,0,0,0
1,"""

Impumozhi and his knowledge (or lack of) about rajputs
 

Incident 1: Impumozhi accuses rajputs of fabricating history on Hada page

Read this page for a little entertainment  in particular, the last three sentences, setting out the historical repurcussions of that hilarious (and probably fictitious) incident. Is this fit for an encyclopedia? Leave aside veracity, just the choice of words? Yet nobody dare change one comma or fullstop in that page: it is """"owned"""" by that presiding deity of obduracy, the learned protagonist of every page with a remote """"rajput"""" connection.

 Impumozhi's lack of knowledge exposed

His claim about Hada's character  being funny and un-encyclopaedic is actually taken from James Tod's Annals and Antiquities page 384 and 385 Vol-II: 
On the death of the queen Joda Bae, Akbar commanded a court mourning; and that all might testify a participation in their master's affliction, an ordinance was issued that all the Rajput chiefs, as well as the Moslem leaders, should shave the moustache and the beard. To secure compliance, the royal barbers had the execution of the mandate. But when they came to  quarters of the Hadas, in order to remove these tokens of manhood, they were repulsed with buffets and contumely. Then enemies of Rao Bhoj Hada aggravated the crime of this resistance and insinuated to the royal ear that the outrage upon the barbers was accompanied with expressions insulting to memory of the departed princess, who it will be remembered was a rajputani of Marwar.  Akbar, forgetting his vassal's gallant services, commanded that Rao Bhoj should be pinioned and forcibly deprived of his moustache. He might as well have commanded the operation on a tiger. The Hadas flew to there arms, the camp was thrown into tumult, and would have soon presented a wide scene of blood-shed, had not the emperor, seasonably repenting of his folly repaired to the Boondi quarters in person. He expressed his admiration (he might have said his fear) of Hada valour, alighted from his elephant to expostulate with the Rao...

If James Tod thinks this incident is worthy of being mentioned in his book, Annals and Antiquities of Rajasthan, what is wrong in this incident being mentioned on Wikipedia?

 

Incident 2. Deleted the name of famous rajput lady, Maharani Gayatri Devi, from rajputani page, saying she is not a rajput.

His response: .

Impumozhi, on rajputani page deleted the name of Maharani Gayatri Devi . 
Then he was asked why he did so: .

His response was countered on his talk page:  and till date he has not responded. The reason he did not respond is because his lack of knowledge on the topic was thoroughly exposed.

 

Incident 3: Impumozhi tries to get the page of a famous rajput king deleted, but is thwarted.

In another incident he put a tag of db-nonsense on the article Hammir Dev Chauhan  . 
He was asked on the talk page of this article on why he put the CSD tag: . No reasons given till date. Another user, , had to remove this db-nonsense tag: . Here again Impumozhi had no idea about the subject matter but just because a rajput had created this article he put the db-nonsense tag.",11202deae2b16769,0,0,0,0,0,0
2,"Zeno 

The nature of motion, which Zeno and Aristotle misunderstood, was explained throughly by Galilio.  And all of Zeno's paradoxes can be resolved by the use of calculus.",89c0058248ecfd13,0,0,0,0,0,0
3,. The user who was doing this has been banned for 1 day while I have been banned for seven. That is absurd.,10afa55f14ecb79c,0,0,0,0,0,0
4,"""""""some white people considered black people to be intellectually and socially inferior"""" Only white people thought that? Let's forget about jews/arabs and asian peoples views ) A whole race of people that never invented a written language in 6000 years how could anyone think they are intellectually and socially inferior is crazy ) Must be evil white man again! Now i'm off to listen to black Mozart... oh wait...    
- 

""",c93d2de4f8a97355,0,0,0,0,0,0
5,we must attack and win this fight,79,1,0,0,1,1,1
6,"Phelps 
Phelps is a fucking bitch ass cock sucking homophobic victim of rape old man and if only someone would kill that bitter fucking old man",683ecc08eb7f41c5,1,1,1,1,0,1
7,Go fuck yourself!!! you fucking delteted it anyway! whats the fucking point of a public Encyclopedia if you delete evrything!?!?!? I've edited a few pages so that they are more dettailed and wtf do you all do!?!!?!?!?!?! fucking get rid of it!!!!!!! and dumb down articles just to cater for you publicly ignorant american twats I hope George Bush gets killed by Islams fuck you all!!,7032e0dce02a180f,1,1,1,1,1,1
8,"Is this article under construction? I did a vandalism rollback and when I was thorugh noticed that the second half of the article has virtually no refs, while the first half has many. It sure would be nice if every para had at least one ref.",ae4d8c206d05d2b9,0,0,0,0,0,0
9,"""

I'm surprised this list has survived and grown, but it seems to meet some need.  Given that it appears to be here to stay, yes, some change towards sortable table would help.  Layout-wise, if it was just a list of NRHPs, some of which are further designated NHLs, then a 3 or 4 column table would work to display the information.  There'd be columns for University, State, and NRHP name, perhaps with a """"type"""" column or with color coding for NHLs vs. regular NRHPs.  All 3 or 4 columns could be sortable.  However, some of the university historic districts listed here include sublists of contributing properties.  Not sure how those would work in a sortable table.  Mere contributing properties should not be made to appear to be equivalent in appearance to a NRHP.  Perhaps it could be done as a sortable list with one row per NRHP / NHL, and those sublists could just be included as blocks appearing in a description column?   """,a47497e17ddfe160,0,0,0,0,0,0
10,"I recorded the spoken version of this article a while back 

If anyone can give any future pointers for my recordings and pronunciation I would appreciate it. And I am sorry I talk like a surfer.  
If I can get it to work I will... don't worry, I sound like someone crossed a Canadian with a speed freak. '''''' speak!",aa0d799ee7ab7212,0,0,0,0,0,0
11,Lets injure his pride,96,1,1,0,0,1,1
12,"""

Could you please """"Blocked Indefinitely"""" until I'll kill you first?!!! (*GUNSHOTS*) Now You're dead again! 2602:252:D2D:4170:DEA:9F7B:2752:4C92  """,e693082c98d3077a,0,0,0,0,0,1
13,"""
I looked at what you did there, and unsuprisingly I saw this edit of yours:

According to orthodox Jewish and Christian eschatological beliefs, and secular historians and scholars, the concept of the Son of Perdition (also called """"the beast that goes into perdition"""" in Revelation  and ) is used in the Bible in one or more of three contexts, forming a triunism (or trinity,http://www.nathan.co.za/message.asp?sermonum=10 see paragraph 40 or typology)Kinship of God and man: An attempt to formulate a thorough-going Trinitarian theology, by J.J. Lanier, see """"Trinitarian Idealism,"""" pp 135-147, esp. Syllabus II, p 136 of three potential interpretive references.Kinship of God and man: An attempt to formulate a thorough-going Trinitarian theology, by J.J. Lanier see """"Trinitarian Idealism,"""" pp 135-147, esp. Syllabus II, p 136

1) First of all, none of the sources cited say anything about the three context """"forming a triunism or trinity"""". None of them. Your claim that this is """"According to orthodox Jewish eschatology and Christian eschatology, and secular historians and scholars"""" is completely unsubstantiated by the citations given.
2) Secondly, all three of the sources you cite are sources which you have been told repeatedly not to use because they are not WP:RS. One of them is predictably yet another link to the website on which your own work is advertised, with your idiosyncratic view. So you're not adhering to Wiki policy, and you're deliberately disobeying what you've been asked to do on many previous occasions. Your edit here is a typical example of your WP:SYNTH and WP:OR.
3) Thirdly, you haven't ever provided a single quotation from Bruce or Reed which shows they support your idiosyncratic """"triunisms"""" idea. Your claim that they do is completely unsupported by the works of theirs which you cite, and is another example of your WP:SYNTH and WP:OR. You can't point to something they've written and claim that because you interpret it as supporting your view, that it supports your view. That's not how Wikipedia works. You need a third party citation from a WP:RS which interprets them as supporting your view.You have been told this repeatedly.~~~~
""",6bc297bad04e77d3,0,0,0,0,0,0
14,"Battle Frontier 

I've userfied the old contents of that page to . I've commented out the unfree images used in the article so that they don't display, since unfree images aren't allowed in userspace. You can continue to work on the article now, though you should contact me if you decide against working on it anymore, and I can put the history back in the old place.  (talk)",13dd5706fb5bb8f5,0,0,0,0,0,0
15,"unblock input devices now u cunt or ill kill ya D 

unblock input devices now u cunt or ill kill ya D",b1c44d21505cb51b,0,0,1,0,1,1
16,Sorry. I should have written it as an opinion or a possibility rather than a fact. I should have said that some people or Christians claimed that he was so and so rather than saying that he was so and so. But it was true that some people claimed he was very bad and un-Christian.,407d709d36551cf8,0,0,0,0,0,0
17,"""
Is this amusement? Low-life losers crying all over the place on internet.   , To  The fact that i thought u were a female all along, proves that u are female in a man's body, which makes you a transgender. In my last deleted comment, i mistyped women as """"god"""" as """"dog"""". Since i was talking about u, my fingers might have responded with 'dog'. Now, i noticed that u are having your transgender talk all over here. Good for you. Its already tough enough being a transgender. Cyphoidbomb, your last sentence is """"As a man, I want his testicles revoked."""" Didn't u learn english. You should tell """"As a transgender, I want his testicles revoked."""" I know, you want my testicles, because u wanna attach it to your body since u don't have it. Have fun doing the shittest job in the world, editing wiki. Loosers. Now cry all over again.""",eb167cfcad567223,0,1,0,0,0,1
18,"""
You shoot your entire imbecilic argument in the head with the silly claim about """"10 cars go past per day, tops"""".   I've driven the Stuart Highway several times and never passed less than 10 cars per hour,  in quiet times.  Thats less than freeways overseas but still a lot more traffic than """"10 cars per day"""".  
""",14a3661d733873f7,0,0,0,0,0,1
19,"""

ok, that's fine.   Context is important, but the overall context of the heading """"Usage"""" etc, would seem to be fitting.   Anyway, so you don't want to say if you're a man or a woman?   You keep dodging that question.    As I said, I get the feeling you may be female.  Just curious.....so are you?   """,6933a3792f8bd286,0,0,0,0,0,0
20,Don't worry. I saw him on the telly years ago saying that he was going to kill all the moslims. His admission of guilt is already in the public domain. He is a piece of filth that belongs in a deep pit in hell.,61f95687f7b1d2ed,0,1,1,0,0,1
21,Its you watching my site not me yours. You're only here to control,d1bec1a1a8210b24,0,0,0,0,0,0
22,"I smacked my head on the car when I was getting 
something out of the trunk",59,0,0,0,0,0,0
23,"wikipedia fuckhead 

A-holes of the labour market R Skilled group",3715d7d43a8babf8,0,0,0,0,0,1
24,"Grandma Terri should burn alive and be shot! 

Get shot asshole G-mau! 

F^ck Grandma Terri in her old ass

Grandma Terri, I hope you die soon! F%ck you in the eye! I hate you. I want to shoot your ass, Grandma Terri! 71.74.76.40  

Grandma Terri, you are shit! 

Grandma Terri, I wish you die! 

Die and go to Hell, Grandma Terri 71.74.76.40",68e2c85013f24b50,0,0,1,0,0,1
25,If he fails me this time I swear I'll kill him ,6,1,1,0,1,1,1
26,"I was just wondering how it would feel to be punched in
the stomach. ",52,0,0,0,0,0,0
27,""" May 2008 (UTC)
 i think steve has had an identity crisis and attributed his 'interpretation' by judadum to another party dajudem. i also believe steve's  """"penalizing people for activities outside of Wikipedia"""" demonstrates ignorance of what i said with his interpretation of what i said. but this is your page Gni and i apologize for the intrusion.  04:33, 9""",bdda99fda4bf3a95,0,0,0,0,0,0
28,She was abducted and her body wasn't found for six weeks.,68,1,0,0,1,1,1
29,"Please don't create personal lists (that is, lists that don't belong in an encyclopedia) in the main article space; I moved your list to",6df92cc51f99d243,0,0,0,0,0,0
